Added 0 blocks for potential tranformations
Added 0 blocks for potential tranformations
Added 0 blocks for potential tranformations
Added 0 blocks for potential tranformations
Added 0 blocks for potential tranformations
Added 0 blocks for potential tranformations
Trainer initialized on GPU

-----TRAINING-----

TRAIN Epoch 0 | Batchsize: 18 | Steps: 535
TRAIN Epoch 0 | Batch 107 | TOTAL 0.8785 | RECON 0.3483 | BCE 0.5272 | KL 0.0030 | ACC 0.7678 | PRC 0.4313 | RCL 0.0098 | F1 0.0191
TRAIN Epoch 0 | Batch 108 | TOTAL 0.8793 | RECON 0.3262 | BCE 0.5501 | KL 0.0030 | ACC 0.7413 | PRC 0.5526 | RCL 0.0029 | F1 0.0058
TRAIN Epoch 0 | Batch 109 | TOTAL 0.9014 | RECON 0.3577 | BCE 0.5407 | KL 0.0030 | ACC 0.7568 | PRC 0.5811 | RCL 0.0033 | F1 0.0065
TRAIN Epoch 0 | Batch 110 | TOTAL 0.7487 | RECON 0.2877 | BCE 0.4581 | KL 0.0028 | ACC 0.8130 | PRC 0.4932 | RCL 0.0047 | F1 0.0093
TRAIN Epoch 0 | Batch 111 | TOTAL 0.9697 | RECON 0.3538 | BCE 0.6124 | KL 0.0035 | ACC 0.6891 | PRC 0.6771 | RCL 0.0025 | F1 0.0050
TRAIN Epoch 0 | Batch 112 | TOTAL 1.0325 | RECON 0.3797 | BCE 0.6490 | KL 0.0038 | ACC 0.6596 | PRC 0.6679 | RCL 0.0042 | F1 0.0083
TRAIN Epoch 0 | Batch 113 | TOTAL 0.9396 | RECON 0.3635 | BCE 0.5729 | KL 0.0032 | ACC 0.7275 | PRC 0.5441 | RCL 0.0138 | F1 0.0269
TRAIN Epoch 0 | Batch 114 | TOTAL 0.8804 | RECON 0.3423 | BCE 0.5354 | KL 0.0027 | ACC 0.7590 | PRC 0.5559 | RCL 0.0477 | F1 0.0878
TRAIN Epoch 0 | Batch 115 | TOTAL 0.8474 | RECON 0.3160 | BCE 0.5285 | KL 0.0029 | ACC 0.7687 | PRC 0.4805 | RCL 0.0752 | F1 0.1300
TRAIN Epoch 0 | Batch 116 | TOTAL 0.9710 | RECON 0.3618 | BCE 0.6063 | KL 0.0029 | ACC 0.6894 | PRC 0.5231 | RCL 0.0629 | F1 0.1123
TRAIN Epoch 0 | Batch 117 | TOTAL 0.7913 | RECON 0.3010 | BCE 0.4877 | KL 0.0026 | ACC 0.8132 | PRC 0.2977 | RCL 0.0895 | F1 0.1376
TRAIN Epoch 0 | Batch 118 | TOTAL 0.7403 | RECON 0.2827 | BCE 0.4549 | KL 0.0028 | ACC 0.8397 | PRC 0.4097 | RCL 0.1342 | F1 0.2021
TRAIN Epoch 0 | Batch 119 | TOTAL 0.8920 | RECON 0.3127 | BCE 0.5761 | KL 0.0032 | ACC 0.7205 | PRC 0.5512 | RCL 0.0653 | F1 0.1168
TRAIN Epoch 0 | Batch 120 | TOTAL 0.8417 | RECON 0.3330 | BCE 0.5058 | KL 0.0029 | ACC 0.7867 | PRC 0.5011 | RCL 0.0616 | F1 0.1097
TRAIN Epoch 0 | Batch 121 | TOTAL 0.8248 | RECON 0.3138 | BCE 0.5081 | KL 0.0029 | ACC 0.7779 | PRC 0.4968 | RCL 0.0310 | F1 0.0583
TRAIN Epoch 0 | Batch 122 | TOTAL 0.7398 | RECON 0.2532 | BCE 0.4837 | KL 0.0029 | ACC 0.8082 | PRC 0.4495 | RCL 0.0113 | F1 0.0221
TRAIN Epoch 0 | Batch 123 | TOTAL 0.7517 | RECON 0.2760 | BCE 0.4730 | KL 0.0027 | ACC 0.7945 | PRC 0.6913 | RCL 0.0031 | F1 0.0062
TRAIN Epoch 0 | Batch 124 | TOTAL 0.7861 | RECON 0.2849 | BCE 0.4983 | KL 0.0029 | ACC 0.7776 | PRC 0.4643 | RCL 0.0002 | F1 0.0005
TRAIN Epoch 0 | Batch 125 | TOTAL 1.0498 | RECON 0.3760 | BCE 0.6706 | KL 0.0032 | ACC 0.6727 | PRC 0.5000 | RCL 0.0001 | F1 0.0003
TRAIN Epoch 0 | Batch 126 | TOTAL 0.8529 | RECON 0.3237 | BCE 0.5260 | KL 0.0032 | ACC 0.7628 | PRC 0.7667 | RCL 0.0004 | F1 0.0008
TRAIN Epoch 0 | Batch 127 | TOTAL 0.7992 | RECON 0.3128 | BCE 0.4830 | KL 0.0034 | ACC 0.8017 | PRC 0.5417 | RCL 0.0018 | F1 0.0037
TRAIN Epoch 0 | Batch 128 | TOTAL 0.9966 | RECON 0.3607 | BCE 0.6323 | KL 0.0036 | ACC 0.6910 | PRC 0.6494 | RCL 0.0021 | F1 0.0042
TRAIN Epoch 0 | Batch 129 | TOTAL 0.9016 | RECON 0.3689 | BCE 0.5301 | KL 0.0025 | ACC 0.7718 | PRC 0.4072 | RCL 0.0062 | F1 0.0122
TRAIN Epoch 0 | Batch 130 | TOTAL 0.8888 | RECON 0.3136 | BCE 0.5724 | KL 0.0028 | ACC 0.7223 | PRC 0.6693 | RCL 0.0217 | F1 0.0420
TRAIN Epoch 0 | Batch 131 | TOTAL 0.9395 | RECON 0.3598 | BCE 0.5770 | KL 0.0027 | ACC 0.7039 | PRC 0.6057 | RCL 0.0471 | F1 0.0875
TRAIN Epoch 0 | Batch 132 | TOTAL 0.9286 | RECON 0.3531 | BCE 0.5728 | KL 0.0027 | ACC 0.7200 | PRC 0.5547 | RCL 0.1166 | F1 0.1928
TRAIN Epoch 0 | Batch 133 | TOTAL 0.7280 | RECON 0.2377 | BCE 0.4879 | KL 0.0025 | ACC 0.7989 | PRC 0.3612 | RCL 0.2040 | F1 0.2608
TRAIN Epoch 0 | Batch 134 | TOTAL 0.8647 | RECON 0.3234 | BCE 0.5387 | KL 0.0026 | ACC 0.7461 | PRC 0.4127 | RCL 0.2080 | F1 0.2766
